Country Key,Country
1,ABW
2,AGO
3,AIA
4,ALB
5,AND
6,ARE
7,ARG
8,ARM
9,ASM
10,ATA
11,ATF
12,AUS
13,AUT
14,AZE
15,BDI
16,BEL
17,BEN
18,BFA
19,BGD
20,BGR
21,BHR
22,BHS
23,BIH
24,BLR
25,BOL
26,BRA
27,BRB
28,BWA
29,CAF
30,CHE
31,CHL
32,CHN
33,CIV
34,CMR
35,CN
36,COL
37,COM
38,CPV
39,CRI
40,CUB
41,CYM
42,CYP
43,CZE
44,DEU
45,DJI
46,DMA
47,DNK
48,DOM
49,DZA
50,ECU
51,EGY
52,ESP
53,EST
54,ETH
55,FIN
56,FJI
57,FRA
58,FRO
59,GAB
60,GBR
61,GEO
62,GGY
63,GHA
64,GIB
65,GLP
66,GNB
67,GRC
68,GTM
69,GUY
70,HKG
71,HND
72,HRV
73,HUN
74,IDN
75,IMN
76,IND
77,IRL
78,IRN
79,IRQ
80,ISL
81,ISR
82,ITA
83,JAM
84,JEY
85,JOR
86,JPN
87,KAZ
88,KEN
89,KHM
90,KIR
91,KNA
92,KOR
93,KWT
94,LAO
95,LBN
96,LBY
97,LCA
98,LIE
99,LKA
100,LTU
101,LUX
102,LVA
103,MAC
104,MAR
105,MCO
106,MDG
107,MDV
108,MEX
109,MKD
110,MLI
111,MLT
112,MMR
113,MNE
114,MOZ
115,MRT
116,MUS
117,MWI
118,MYS
119,MYT
120,NAM
121,NCL
122,NGA
123,NIC
124,NLD
125,NOR
126,NPL
127,NULL
128,NZL
129,OMN
130,PAK
131,PAN
132,PER
133,PHL
134,PLW
135,POL
136,PRI
137,PRT
138,PRY
139,PYF
140,QAT
141,ROU
142,RUS
143,RWA
144,SAU
145,SDN
146,SEN
147,SGP
148,SLE
149,SLV
150,SMR
151,SRB
152,STP
153,SUR
154,SVK
155,SVN
156,SWE
157,SYC
158,SYR
159,TGO
160,THA
161,TJK
162,TMP
163,TUN
164,TUR
165,TWN
166,TZA
167,UGA
168,UKR
169,UMI
170,URY
171,USA
172,UZB
173,VEN
174,VGB
175,VNM
176,ZAF
177,ZMB
178,ZWE
